Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,2.0,13.0,15.0,0.0063193901876836545
2,4.0,17.0,21.0,0.006951175014885409
3,10.0,27.0,37.0,0.014300767655475857
4,12.0,35.0,47.0,0.010074614356848503
5,18.0,39.0,57.0,0.010954062658369398
6,27.0,45.0,72.0,0.020393801789228453
7,30.0,48.0,78.0,0.01729944277722365
8,31.0,50.0,81.0,0.015842896720646364
9,31.0,50.0,81.0,0.014610302361687314
10,36.0,54.0,90.0,0.015707191763043794
11,50.0,64.0,114.0,0.016713725225842656
